Pathway(ConsensusPathDB)	Pathway(KEGG)_full	Function_description	MIM_phenotype_id	Trait_association(GWAS)	GO_biological_process	GO_cellular_component	GO_molecular_function	Ensembl_geneid
Bile secretion - Homo sapiens (human);ABC transporters - Homo sapiens (human);Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha);Farnesoid X Receptor Pathway;Nuclear Receptors Meta-Pathway;Nuclear Receptors in Lipid Metabolism and Toxicity;multi-drug resistance factors;Transport of small molecules;ABC-family proteins mediated transport;Arachidonic acid metabolism	ABC transporters	FUNCTION: Energy-dependent phospholipid efflux translocator that acts as a positive regulator of biliary lipid secretion. Functions as a floppase that translocates specifically phosphatidylcholine (PC) from the inner to the outer leaflet of the canalicular membrane bilayer into the canaliculi of hepatocytes. Translocation of PC makes the biliary phospholipids available for extraction into the canaliculi lumen by bile salt mixed micelles and therefore protects the biliary tree from the detergent activity of bile salts (PubMed:7957936, PubMed:8898203, PubMed:9366571, PubMed:17523162, PubMed:23468132, PubMed:24806754, PubMed:24723470, PubMed:24594635, PubMed:21820390). Plays a role in the recruitment of phosphatidylcholine (PC), phosphatidylethanolamine (PE) and sphingomyelin (SM) molecules to nonraft membranes and to fu rther enrichment of SM and cholesterol in raft membranes in hepatocytes (PubMed:23468132). Required for proper phospholipid bile formation (By similarity). Indirectly involved in cholesterol efflux activity from hepatocytes into the canalicular lumen in the presence of bile salts in an ATP- dependent manner (PubMed:24045840). Promotes biliary phospholipid secretion as canaliculi-containing vesicles from the canalicular plasma membrane (PubMed:9366571, PubMed:28012258). In cooperation with ATP8B1, functions to protect hepatocytes from the deleterious detergent activity of bile salts (PubMed:21820390). Does not confer multidrug resistance (By similarity). {ECO:0000250|UniProtKB:P21440, ECO:0000269|PubMed:17523162, ECO:0000269|PubMed:21820390, ECO:0000269|PubMed:23468132, ECO:0000269|PubMed:24045840, ECO:0000269|PubMed:24594635, ECO:0000269|PubMed:24723470, ECO:0000269|PubMed:24806754, ECO:0000269|PubMed:28012258, ECO:0000269|PubMed:7957936, ECO:0000269|PubMed:8898203, ECO:0000269|PubMed:9366571}.; 	600803;602347;614972;	Epithelial ovarian cancer[25134534];Alanine transaminase levels[29403010];Gallbladder cancer[28274756];	lipid metabolic process;regulation of lipid metabolic process;positive regulation of cholesterol transport;bile acid secretion;response to drug;phospholipid translocation;transmembrane transport;lipid homeostasis;positive regulation of phospholipid translocation;ceramide translocation;response to fenofibrate;cellular response to bile acid;positive regulation of phospholipid transport	nucleoplasm;cytoplasm;cytosol;plasma membrane;integral component of plasma membrane;focal adhesion;actin cytoskeleton;membrane;apical plasma membrane;clathrin-coated vesicle;membrane raft;intercellular canaliculus;extracellular exosome	protein binding;ATP binding;phospholipid transporter activity;phosphatidylcholine transporter activity;ATPase activity, coupled to transmembrane movement of substances;phosphatidylcholine-translocating ATPase activity;ceramide-translocating ATPase activity	ENSG00000005471
Citalopram Pathway, Pharmacokinetics;Methotrexate Pathway (Brain Cell), Pharmacokinetics;Methotrexate Pathway, Pharmacokinetics;Gastric cancer - Homo sapiens (human);Doxorubicin Pathway (Cancer Cell), Pharmacodynamics;Bile secretion - Homo sapiens (human);ABC transporters - Homo sapiens (human);Doxorubicin Pathway, Pharmacokinetics;MicroRNAs in cancer - Homo sapiens (human);Imatinib Pathway, Pharmacokinetics/Pharmacodynamics;Statin Pathway - Generalized, Pharmacokinetics;Atorvastatin/Lovastatin/Simvastatin Pathway, Pharmacokinetics;Pravastatin Pathway, Pharmacokinetics;Warfarin Pathway, Pharmacokinetics;Codeine and Morphine Pathway, Pharmacokinetics;Vinka Alkaloid Pathway, Pharmacokinetics;Gefitinib Pathway, Pharmacokinetics;Proton Pump Inhibitor Pathway, Pharmacokinetics;Clopidogrel Pathway, Pharmacokinetics;Taxane Pathway, Pharmacokinetics;Erlotinib Pathway, Pharmacokinetics;Zidovudine Pathway, Pharmacokinetics/Pharmacodynamics;Lamivudine Pathway, Pharmacokinetics/Pharmacodynamics;Mycophenolic acid Pathway, Pharmacokinetics;Tacrolimus/Cyclosporine Pathway, Pharmacokinetics;Pathway_PA165986194 -need delete;Acetaminophen Pathway, Pharmacokinetics;Irinotecan Pathway, Pharmacokinetics;Etoposide Pathway, Pharmacokinetics/Pharmacodynamics;Irinotecan Pathway, Pharmacodynamics;Statin Pathway, Pharmacodynamics;Doxorubicin Metabolism Pathway;Mycophenolic Acid Metabolism Pathway;Clopidogrel Metabolism Pathway;Clopidogrel Action Pathway;Irinotecan Action Pathway;Docetaxel Action Pathway;Paclitaxel Action Pathway;Vincristine Action Pathway;Vinblastine Action Pathway;Vinorelbine Action Pathway;Vindesine Action Pathway;Erlotinib Action Pathway;Venlafaxine Metabolism Pathway;Etoposide Action Pathway;Lamivudine Metabolism Pathway;Acetaminophen Metabolism Pathway;Irinotecan Metabolism Pathway;Etoposide Metabolism Pathway;Codeine and Morphine Metabolism;Drug Induction of Bile Acid Pathway;Allograft Rejection;Constitutive Androstane Receptor Pathway;Pregnane X Receptor pathway;Vitamin D Receptor Pathway;Nuclear Receptors Meta-Pathway;Nuclear Receptors in Lipid Metabolism and Toxicity;Imatinib and Chronic Myeloid Leukemia;LncRNA-mediated mechanisms of therapeutic resistance;Liver steatosis AOP;hypoxia and p53 in the cardiovascular system;multi-drug resistance factors;Abacavir transmembrane transport;Abacavir transport and metabolism;Metabolism;Transport of small molecules;ABC-family proteins mediated transport;HIF-1-alpha transcription factor network	ABC transporters	FUNCTION: Energy-dependent efflux pump responsible for decreased drug accumulation in multidrug-resistant cells.; 	612244;	Bone mineral density (spine) and age at menarche[26312577;26312577];Gallbladder cancer[28274756];	G2/M transition of mitotic cell cycle;drug transmembrane transport;response to drug;xenobiotic transport;phospholipid translocation;regulation of response to osmotic stress;transmembrane transport;stem cell proliferation;ceramide translocation;positive regulation of anion channel activity;regulation of chloride transport	plasma membrane;cell surface;membrane;integral component of membrane;apical plasma membrane;extracellular exosome	transporter activity;protein binding;ATP binding;xenobiotic transmembrane transporting ATPase activity;ATPase activity, coupled to transmembrane movement of substances;phosphatidylcholine-translocating ATPase activity;phosphatidylethanolamine-translocating ATPase activity;ceramide-translocating ATPase activity	ENSG00000085563
Cell cycle - Homo sapiens (human);Cell Cycle;DNA Replication;Activation of ATR in response to replication stress;G2/M Checkpoints;Cell Cycle Checkpoints;Activation of the pre-replicative complex;Mitotic G1-G1/S phases;DNA Replication;G1/S Transition;DNA Replication Pre-Initiation;M/G1 Transition;Cell Cycle;Cell Cycle, Mitotic	Cell cycle	FUNCTION: Regulatory subunit for CDC7 which activates its kinase activity thereby playing a central role in DNA replication and cell proliferation. Required for progression of S phase. The complex CDC7-DBF4A selectively phosphorylates MCM2 subunit at 'Ser-40' and 'Ser-53' and then is involved in regulating the initiation of DNA replication during cell cycle. {ECO:0000269|PubMed:10373557, ECO:0000269|PubMed:10523313, ECO:0000269|PubMed:17062569}.; 	.	.	G1/S transition of mitotic cell cycle;DNA replication;positive regulation of DNA replication;positive regulation of protein serine/threonine kinase activity	nucleus;nucleoplasm;nuclear body;Dbf4-dependent protein kinase complex	nucleic acid binding;protein binding;enzyme activator activity;zinc ion binding;protein kinase binding;protein serine/threonine kinase activator activity	ENSG00000006634
Developmental Biology;LGI-ADAM interactions	.	FUNCTION: Probable ligand for integrin in the brain. This is a non catalytic metalloprotease-like protein (PubMed:19692335). Involved in regulation of cell adhesion and spreading and in inhibition of cell proliferation. Neuronal receptor for LGI1. {ECO:0000269|PubMed:12589811, ECO:0000269|PubMed:15882968, ECO:0000269|PubMed:16385342, ECO:0000269|PubMed:19692335}.; 	617933;	Blood protein levels[30072576];Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)[21221126];	proteolysis;cell adhesion;negative regulation of cell adhesion;central nervous system development;adult locomotory behavior;myelination in peripheral nervous system	plasma membrane;integral component of membrane;axon;glutamatergic synapse;integral component of postsynaptic density membrane	metalloendopeptidase activity;integrin binding;protein binding	ENSG00000008277
Vitamin D Receptor Pathway;Copper homeostasis	.	FUNCTION: Metalloreductase that has the ability to reduce both Fe(3+) to Fe(2+) and Cu(2+) to Cu(1+) (By similarity). Uses NADP(+) as acceptor (By similarity). Plays a role in systemic metabolic homeostasis, integrating inflammatory and metabolic responses (By similarity). Associated with obesity and insulin- resistance (PubMed:18430367, PubMed:18381574). Involved in inflammatory arthritis, through the regulation of inflammatory cytokines (PubMed:19660107). Inhibits anchorage-independent cell proliferation (PubMed:19787193). {ECO:0000250, ECO:0000269|PubMed:18381574, ECO:0000269|PubMed:18430367, ECO:0000269|PubMed:19660107, ECO:0000269|PubMed:19787193}.; 	.	Restless legs syndrome[29029846];	copper ion import;fat cell differentiation;iron ion homeostasis;oxidation-reduction process;iron ion import across cell outer membrane	Golgi membrane;endosome;Golgi apparatus;plasma membrane;integral component of membrane;early endosome membrane;extracellular exosome	cupric reductase activity;metal ion binding;ferric-chelate reductase (NADPH) activity	ENSG00000127954
Gene expression (Transcription);Generic Transcription Pathway;RNA Polymerase II Transcription	.	.	.	Body mass index[20966902];Dental caries[23259602];Restless legs syndrome[29029846];Breast milk fatty acid composition (maternal genotype effect)[29514873;29514873];Aluminium levels[26025379];Breast milk fatty acid composition (infant genotype effect)[29514873];Anorexia nervosa[21079607];Hypothyroidism[22493691];Heschl's gyrus morphology[25130324];Cervical cancer[24700089];	.	.	nucleic acid binding;metal ion binding	ENSG00000182348
.	.	.	.	.	spermatogenesis;sensory perception of smell;cell differentiation;olfactory behavior;positive regulation of flagellated sperm motility;positive regulation of fertilization;response to odorant	cytoplasm;sperm midpiece;non-motile cilium	.	ENSG00000105792
Mitochondrial biogenesis;Mitochondrial Gene Expression;Gene expression (Transcription);Mitochondrial transcription termination;Transcription from mitochondrial promoters	.	FUNCTION: Transcription termination factor. Binds to a 28 bp region within the tRNA(Leu(uur)) gene at a position immediately adjacent to and downstream of the 16S rRNA gene; this region comprises a tridecamer sequence critical for directing accurate termination. Binds DNA along the major grove and promotes DNA bending and partial unwinding. Promotes base flipping. Transcription termination activity appears to be polarized with highest specificity for transcripts initiated on the light strand. {ECO:0000269|PubMed:20550934}.; 	.	Obesity-related traits[23251661];	DNA-templated transcription, termination;regulation of transcription, DNA-templated;termination of mitochondrial transcription;mitochondrion organization;DNA geometric change	mitochondrion;mitochondrial matrix;cytosol;mitochondrial nucleoid	double-stranded DNA binding;RNA binding;protein binding	ENSG00000127989
Rap1 signaling pathway - Homo sapiens (human)	.	FUNCTION: Component of the CCM signaling pathway which is a crucial regulator of heart and vessel formation and integrity (By similarity). Negative regulator of angiogenesis. Inhibits endothelial proliferation, apoptosis, migration, lumen formation and sprouting angiogenesis in primary endothelial cells. Promotes AKT phosphorylation in a NOTCH-dependent and independent manner, and inhibits ERK1/2 phosphorylation indirectly through activation of the DELTA-NOTCH cascade. Acts in concert with CDH5 to establish and maintain correct endothelial cell polarity and vascular lumen and these effects are mediated by recruitment and activation of the Par polarity complex and RAP1B. Required for the localization of phosphorylated PRKCZ, PARD3, TIAM1 and RAP1B to the cell junction, and cell junction stabilization. Plays a role in integrin signaling via its interaction with ITGB1BP1; this prevents the interaction between ITGB1 and ITGB1BP1. Microtubule- associated protein that binds to phosphatidylinositol 4,5- bisphosphate (PIP2)-containing membranes in a GTP-bound RAP1- dependent manner. Plays an important role in the maintenance of the intracellular reactive oxygen species (ROS) homeostasis to prevent oxidative cellular damage. Regulates the homeostasis of intracellular ROS through an antioxidant pathway involving FOXO1 and SOD2. Facilitates the down-regulation of cyclin-D1 (CCND1) levels required for cell transition from proliferative growth to quiescence by preventing the accumulation of intracellular ROS through the modulation of FOXO1 and SOD2 levels. {ECO:0000250|UniProtKB:Q6S5J6, ECO:0000269|PubMed:11741838, ECO:0000269|PubMed:17916086, ECO:0000269|PubMed:20332120, ECO:0000269|PubMed:20616044, ECO:0000269|PubMed:20668652, ECO:0000269|PubMed:21633110, ECO:0000269|PubMed:23317506}.; 	116860;	.	angiogenesis;negative regulation of endothelial cell proliferation;small GTPase mediated signal transduction;negative regulation of endothelial cell migration;negative regulation of angiogenesis;cell redox homeostasis;regulation of catalytic activity;regulation of establishment of cell polarity;negative regulation of endothelial cell apoptotic process	extracellular space;cytoplasm;microtubule;plasma membrane;cell-cell junction	protein binding;phosphatidylinositol-4,5-bisphosphate binding;microtubule binding;GTPase regulator activity;protein-containing complex binding	ENSG00000001631
.	.	FUNCTION: Might act as an E3 ubiquitin-protein ligase, or as part of E3 complex, which accepts ubiquitin from specific E2 ubiquitin- conjugating enzymes and then transfers it to substrates. {ECO:0000250}.; 	.	Disrupted circadian rhythm (low relative amplitude of rest-activity cycles)[30120083];	protein polyubiquitination;ubiquitin-dependent protein catabolic process;positive regulation of proteasomal ubiquitin-dependent protein catabolic process	ubiquitin ligase complex;cytoplasm	protein binding;ubiquitin conjugating enzyme binding;metal ion binding;ubiquitin protein ligase activity	ENSG00000001629
Peroxisome - Homo sapiens (human);Metabolism of proteins;Peroxisomal protein import	.	FUNCTION: Required for stability of PEX5 and protein import into the peroxisome matrix. Anchored by PEX26 to peroxisome membranes, possibly to form heteromeric AAA ATPase complexes required for the import of proteins into peroxisomes.; 	214100;234580;601539;	Height[18391951];	protein targeting to peroxisome;peroxisome organization;protein import into peroxisome matrix;microtubule-based peroxisome localization	cytoplasm;peroxisome;peroxisomal membrane;cytosol;extracellular exosome	protein binding;ATP binding;protein C-terminus binding;ATPase activity;ATPase activity, coupled;protein-containing complex binding	ENSG00000127980
.	.	.	.	Idiopathic dilated cardiomyopathy[29495422];	.	nucleoplasm	RNA binding	ENSG00000127993
.	.	FUNCTION: May play a role in the inflammatory response to tissue injury and the control of extra-osseous calcification, acting as a downstream target of TNF-alpha signaling. Involved in the regulation of EGR1, in coordination with RGL2. May be involved in endosome fusion. {ECO:0000269|PubMed:16960814, ECO:0000269|PubMed:18094730, ECO:0000269|PubMed:21160498, ECO:0000269|PubMed:24029230}.; 	610455;617053;	Mean corpuscular volume[29403010];Mean corpuscular hemoglobin[29403010];Central corneal thickness[29760442];	endosomal vesicle fusion	cytoplasm;cytosol;intracellular membrane-bounded organelle	protein binding	ENSG00000205413
.	.	FUNCTION: May be involved in endosome fusion. Mediates down- regulation of growth factor signaling via internalization of growth factor receptors. {ECO:0000250|UniProtKB:Q69Z37}.; 	159550;	Systemic lupus erythematosus and Systemic sclerosis[23740937];	endosomal vesicle fusion	cytoplasm;early endosome	protein binding	ENSG00000177409
.	.	FUNCTION: Required during prometaphase for centrosome maturation. Following poly-ADP-ribosylation (PARsylation) by TNKS, translocates from the Golgi apparatus to mitotic centrosomes and plays a key role in the formation of robust microtubules for prompt movement of chromosomes: anchors AKAP9/CG-NAP, a scaffold protein of the gamma-tubulin ring complex and promotes centrosome maturation. {ECO:0000269|PubMed:22864114}.; 	.	.	centrosome cycle;cell division	Golgi membrane;Golgi apparatus;centrosome;spindle;integral component of membrane;midbody	protein binding	ENSG00000188175
.	.	FUNCTION: Acts as component of the EARP complex that is involved in endocytic recycling. The EARP complex associates with Rab4- positive endosomes and promotes recycling of internalized transferrin receptor (TFRC) to the plasma membrane. Within the EARP complex, required to tether the complex to recycling endosomes. Not involved in retrograde transport from early and late endosomes to the trans-Golgi network (TGN). {ECO:0000269|PubMed:25799061}.; 	.	.	protein transport;endocytic recycling;retrograde transport, endosome to Golgi	cytosol;membrane;recycling endosome;extracellular exosome;EARP complex	SNARE binding;protein binding	ENSG00000004766
.	.	FUNCTION: May play a role in the regulation of plasmin-mediated matrix remodeling. Inhibits trypsin, plasmin, factor VIIa/tissue factor and weakly factor Xa. Has no effect on thrombin. {ECO:0000269|PubMed:7872799}.; 	.	Heart rate response to recovery post exercise (50 sec)[29497042];Heart rate response to recovery post exercise (30 sec)[29497042];Heart rate response to recovery post exercise (10 sec)[29497042];Heart rate response to recovery post exercise (40 sec)[29497042];Heart rate response to recovery post exercise (20 sec)[29497042];	blood coagulation;negative regulation of endopeptidase activity;cellular response to fluid shear stress	extracellular space;extracellular matrix	serine-type endopeptidase inhibitor activity;extracellular matrix structural constituent	ENSG00000105825
PI3K-Akt signaling pathway - Homo sapiens (human);Platelet activation - Homo sapiens (human);ECM-receptor interaction - Homo sapiens (human);Focal adhesion - Homo sapiens (human);Relaxin signaling pathway - Homo sapiens (human);AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human);Protein digestion and absorption - Homo sapiens (human);Amoebiasis - Homo sapiens (human);Human papillomavirus infection - Homo sapiens (human);Platelet Aggregation Inhibitor Pathway, Pharmacodynamics;miR-targeted genes in muscle cell - TarBase;miRNA targets in ECM and membrane receptors;Focal Adhesion;TGF-beta Signaling Pathway;Focal Adhesion-PI3K-Akt-mTOR-signaling pathway;Protein alkylation leading to liver fibrosis;Interleukin-4 and 13 signaling;PI3K-Akt Signaling Pathway;Inflammatory Response Pathway;Vesicle-mediated transport;Collagen chain trimerization;Collagen biosynthesis and modifying enzymes;Collagen formation;Extracellular matrix organization;Beta3 integrin cell surface interactions;Integrin;VEGFR3 signaling in lymphatic endothelium;C-MYB transcription factor network;Binding and Uptake of Ligands by Scavenger Receptors;Scavenging by Class A Receptors;Validated targets of C-MYC transcriptional repression;Beta1 integrin cell surface interactions;AP-1 transcription factor network;Syndecan-1-mediated signaling events;IL4-mediated signaling events;Validated transcriptional targets of AP1 family members Fra1 and Fra2;Regulation of nuclear SMAD2/3 signaling;Endothelins;Integrins in angiogenesis	Cell Communication;Focal adhesion;ECM-receptor interaction	FUNCTION: Type I collagen is a member of group I collagen (fibrillar forming collagen).; 	166200;166210;166220;225320;259420;617821;	Low bone mineral density (hip)[26235824];Intelligence[22449649;22449649];Aging[22773346];Mean forced vital capacity from 2 exams[17903307];Low bone mineral density (spine)[26235824];PR interval in Tripanosoma cruzi seropositivity[24324551];Immune reponse to smallpox (secreted IL-12p40)[22610502];Post bronchodilator FEV1[26634245];	skeletal system development;blood vessel development;transforming growth factor beta receptor signaling pathway;Rho protein signal transduction;blood coagulation;regulation of blood pressure;cytokine-mediated signaling pathway;platelet activation;extracellular matrix organization;collagen fibril organization;odontogenesis;skin morphogenesis;regulation of immune response;leukocyte migration;protein heterotrimerization;cellular response to amino acid stimulus	extracellular region;collagen type I trimer;extracellular space;endoplasmic reticulum;endoplasmic reticulum lumen;extracellular matrix;collagen-containing extracellular matrix;extracellular exosome	protease binding;extracellular matrix structural constituent;protein binding;extracellular matrix structural constituent conferring tensile strength;protein binding, bridging;identical protein binding;SMAD binding;metal ion binding;platelet-derived growth factor binding	ENSG00000164692
.	.	FUNCTION: Component of the sarcoglycan complex, a subcomplex of the dystrophin-glycoprotein complex which forms a link between the F-actin cytoskeleton and the extracellular matrix.; 	159900;	.	cell-matrix adhesion;muscle organ development	Golgi apparatus;cytoskeleton;plasma membrane;integral component of plasma membrane;dystrophin-associated glycoprotein complex;sarcoglycan complex;dendrite membrane;sarcolemma	.	ENSG00000127990
.	.	FUNCTION: Binds to actin filaments (F-actin) and shows cross- linking activity. Binds along the sides of the F-actin. May be involved in neurite formation. Inhibits protein phosphatase 1- alpha activity (By similarity). {ECO:0000250}.; 	.	Glucocorticoid-induced osteonecrosis (age 10 years and older)[26265699];	actin filament organization;aging;calcium-mediated signaling;regulation of actin filament polymerization;neuron projection development;positive regulation of protein kinase activity;regulation of filopodium assembly;negative regulation of stress fiber assembly;regulation of synapse structural plasticity;regulation of synapse assembly;excitatory postsynaptic potential;positive regulation of dendritic spine development;regulation of dendritic spine morphogenesis;cellular response to toxic substance;postsynaptic actin cytoskeleton organization;negative regulation of long-term synaptic potentiation;positive regulation of long-term synaptic depression;negative regulation of spontaneous neurotransmitter secretion	cytoplasm;cytosol;postsynaptic density;actin cytoskeleton;cell junction;filopodium;dendrite;cortical actin cytoskeleton;neuromuscular junction;neuronal cell body;dendritic spine neck;postsynaptic actin cytoskeleton;glutamatergic synapse;growth cone lamellipodium	protein binding;protein C-terminus binding;protein phosphatase 1 binding;protein kinase binding;protein domain specific binding;protein homodimerization activity;ion channel binding;actin filament binding;GTPase binding	ENSG00000158528
Phase I biotransformations, non P450;Metabolism of lipids;Synthesis of 5-eicosatetraenoic acids;Arachidonic acid metabolism;Metabolism;Fatty acid metabolism	gamma-Hexachlorocyclohexane degradation;Bisphenol A degradation	FUNCTION: Has low activity towards the organophosphate paraxon and aromatic carboxylic acid esters. Rapidly hydrolyzes lactones such as statin prodrugs (e.g. lovastatin). Hydrolyzes aromatic lactones and 5- or 6-member ring lactones with aliphatic substituents but not simple lactones or those with polar substituents. {ECO:0000269|PubMed:15772423}.; 	.	.	response to toxic substance;phenylacetate catabolic process;dephosphorylation;lipoxygenase pathway;aromatic compound catabolic process;negative regulation of superoxide anion generation;coumarin catabolic process;carboxylic acid catabolic process	extracellular region;extracellular space;intracellular membrane-bounded organelle;extracellular exosome	aryldialkylphosphatase activity;arylesterase activity;3,4-dihydrocoumarin hydrolase activity;protein homodimerization activity;metal ion binding;acyl-L-homoserine-lactone lactonohydrolase activity	ENSG00000105852
Phase I biotransformations, non P450;Metabolism of lipids;Synthesis of 5-eicosatetraenoic acids;Arachidonic acid metabolism;Metabolism;Fatty acid metabolism	gamma-Hexachlorocyclohexane degradation;Bisphenol A degradation	FUNCTION: Capable of hydrolyzing lactones and a number of aromatic carboxylic acid esters. Has antioxidant activity. Is not associated with high density lipoprotein. Prevents LDL lipid peroxidation, reverses the oxidation of mildly oxidized LDL, and inhibits the ability of MM-LDL to induce monocyte chemotaxis. {ECO:0000269|PubMed:11579088, ECO:0000269|PubMed:15772423}.; 	.	Yu-Zhi constitution type in type 2 diabetes[26169365];	response to oxidative stress;response to toxic substance;lipoxygenase pathway;aromatic compound catabolic process	extracellular region;nucleus;mitochondrion;lysosome;plasma membrane	arylesterase activity;identical protein binding;metal ion binding;acyl-L-homoserine-lactone lactonohydrolase activity	ENSG00000105854
Estrogen Receptor Pathway;Nuclear Receptors Meta-Pathway;Amino Acid metabolism;Signal Transduction;Regulation of pyruvate dehydrogenase (PDH) complex;Pyruvate metabolism;Pyruvate metabolism and Citric Acid (TCA) cycle;The citric acid (TCA) cycle and respiratory electron transport;Metabolism;Signaling by Retinoic Acid;Signaling by Nuclear Receptors	.	FUNCTION: Kinase that plays a key role in regulation of glucose and fatty acid metabolism and homeostasis via phosphorylation of the pyruvate dehydrogenase subunits PDHA1 and PDHA2. This inhibits pyruvate dehydrogenase activity, and thereby regulates metabolite flux through the tricarboxylic acid cycle, down-regulates aerobic respiration and inhibits the formation of acetyl-coenzyme A from pyruvate. Inhibition of pyruvate dehydrogenase decreases glucose utilization and increases fat metabolism in response to prolonged fasting and starvation. Plays an important role in maintaining normal blood glucose levels under starvation, and is involved in the insulin signaling cascade. Via its regulation of pyruvate dehydrogenase activity, plays an important role in maintaining normal blood pH and in preventing the accumulation of ketone bodies under starvation. In the fed state, mediates cellular responses to glucose levels and to a high-fat diet. Regulates both fatty acid oxidation and de novo fatty acid biosynthesis. Plays a role in the generation of reactive oxygen species. Protects detached epithelial cells against anoikis. Plays a role in cell proliferation via its role in regulating carbohydrate and fatty acid metabolism. {ECO:0000269|PubMed:15955060, ECO:0000269|PubMed:18658136, ECO:0000269|PubMed:21816445, ECO:0000269|PubMed:21852536}.; 	.	.	glucose metabolic process;protein phosphorylation;regulation of pH;insulin receptor signaling pathway;cellular response to starvation;regulation of acetyl-CoA biosynthetic process from pyruvate;regulation of cellular ketone metabolic process;regulation of glucose metabolic process;regulation of fatty acid biosynthetic process;glucose homeostasis;response to starvation;regulation of bone resorption;regulation of fatty acid oxidation;cellular response to fatty acid;reactive oxygen species metabolic process;negative regulation of anoikis	mitochondrion;mitochondrial matrix	protein kinase activity;pyruvate dehydrogenase (acetyl-transferring) kinase activity;ATP binding	ENSG00000004799
Salmonella infection - Homo sapiens (human);Phagosome - Homo sapiens (human);Vasopressin-regulated water reabsorption - Homo sapiens (human);Signal Transduction;Vesicle-mediated transport;Membrane Trafficking;Post-translational protein modification;Metabolism of proteins;Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal;Amplification of signal from the kinetochores;Mitotic Spindle Checkpoint;Cell Cycle Checkpoints;RHO GTPases Activate Formins;RHO GTPase Effectors;Signaling by Rho GTPases;Transport to the Golgi and subsequent modification;Asparagine N-linked glycosylation;COPI-independent Golgi-to-ER retrograde traffic;Golgi-to-ER retrograde transport;Mitotic Prometaphase;COPI-mediated anterograde transport;Separation of Sister Chromatids;Mitotic Anaphase;Mitotic Metaphase and Anaphase;M Phase;Cell Cycle;Resolution of Sister Chromatid Cohesion;ER to Golgi Anterograde Transport;Cell Cycle, Mitotic;Intra-Golgi and retrograde Golgi-to-ER traffic	.	FUNCTION: Acts as one of several non-catalytic accessory components of the cytoplasmic dynein 1 complex that are thought to be involved in linking dynein to cargos and to adapter proteins that regulate dynein function. Cytoplasmic dynein 1 acts as a motor for the intracellular retrograde motility of vesicles and organelles along microtubules. The intermediate chains mediate the binding of dynein to dynactin via its 150 kDa component (p150- glued) DCNT1. May play a role in mediating the interaction of cytoplasmic dynein with membranous organelles and kinetochores.; 	.	Knee osteoarthritis[27696742];Immune reponse to smallpox (secreted IL-10)[22610502];Dementia and core Alzheimer's disease neuropathologic changes[25188341;25188341];Obesity-related traits[23251661;23251661];	endoplasmic reticulum to Golgi vesicle-mediated transport;microtubule-based movement;antigen processing and presentation of exogenous peptide antigen via MHC class II;vesicle transport along microtubule	kinetochore;condensed chromosome kinetochore;spindle pole;nucleus;cytoplasm;cytosol;cytoplasmic dynein complex;microtubule;dynein complex;vesicle;cytoplasmic ribonucleoprotein granule;perinuclear region of cytoplasm;recycling endosome	motor activity;microtubule motor activity;protein binding;microtubule binding;ATP-dependent microtubule motor activity, plus-end-directed;spectrin binding;dynein light chain binding;dynein heavy chain binding	ENSG00000158560
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);Ammonia Recycling;Hypoacetylaspartia;Aspartate Metabolism;Canavan Disease;ATF4 activates genes;Photodynamic therapy-induced unfolded protein response;Amino Acid metabolism;Alanine Aspartate Asparagine metabolism;Metabolism of amino acids and derivatives;asparagine biosynthesis;Metabolism;glutamine degradation/glutamate biosynthesis;Amino acid synthesis and interconversion (transamination)	Alanine and aspartate metabolism;Nitrogen metabolism	.	615574;	.	liver development;asparagine biosynthetic process;glutamine metabolic process;cellular amino acid biosynthetic process;response to light stimulus;response to mechanical stimulus;response to toxic substance;response to methotrexate;response to follicle-stimulating hormone;cellular response to hormone stimulus;PERK-mediated unfolded protein response;cellular response to glucose starvation;negative regulation of apoptotic process;response to amino acid;positive regulation of mitotic cell cycle;L-asparagine biosynthetic process	cytosol	asparagine synthase (glutamine-hydrolyzing) activity;protein binding;ATP binding;protein homodimerization activity;cofactor binding	ENSG00000070669
.	.	FUNCTION: Phosphorylates PPP1C, phosphorylase b and CFTR.; 	.	Prostate cancer[18264097];Gamma glutamyl transferase levels[29403010];	receptor recycling;protein phosphorylation;transmembrane receptor protein tyrosine kinase signaling pathway;peptidyl-serine phosphorylation;peptidyl-threonine phosphorylation;peptidyl-tyrosine phosphorylation;endocytic recycling;negative regulation of phosphoprotein phosphatase activity;transferrin transport;early endosome to late endosome transport;protein autophosphorylation	early endosome;Golgi apparatus;cytosol;integral component of plasma membrane;integral component of membrane;growth cone;neuronal cell body;receptor complex;perinuclear region of cytoplasm;recycling endosome	protein serine/threonine kinase activity;transmembrane receptor protein tyrosine kinase activity;protein phosphatase inhibitor activity;protein binding;ATP binding;myosin VI binding	ENSG00000164715
